subcategory,action,category,subcategory_remap,notes
mustard spice,REMOVE,,,Non-supplement category
nasal strips,REMOVE,,,Non-supplement category
non-alcoholic liquors & spirits,REMOVE,,,Non-supplement category
non-aspirin pain relievers,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
non-stick cooking oil sprays,REMOVE,,,Non-supplement category
nutmeg spice,REMOVE,,,Non-supplement category
olive,REMOVE,,,Non-supplement category
olive oil,REMOVE,,,Non-supplement category
omega oils,REMAP,OIL CATEGORY,FISH OIL,Maps to OIL CATEGORY / FISH OIL
onion spice,REMOVE,,,Non-supplement category
oregano spice,REMOVE,,,Non-supplement category
"other allergy, asthma & sinus care",REMOVE,,,Non-supplement category
other alternative medicine,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
other amino acids,REMAP,AMINO ACIDS,AMINO ACIDS,Maps to AMINO ACIDS / AMINO ACIDS
other baby grooming products,REMOVE,,,Non-supplement category
other beverage mixers & additives,REMOVE,,,Non-supplement category
other cat flea & tick control,REMOVE,,,Non-supplement category
other cat health supplies,REMOVE,,,Non-supplement category
other cheese,REMOVE,,,Non-supplement category
other cheeses,REMOVE,,,Non-supplement category
other cocktail mixers,REMOVE,,,Non-supplement category
other cooking nuts & seeds,REMOVE,,,Non-supplement category
other cooking oils,REMOVE,,,Non-supplement category
other diagnostic tools,REMOVE,,,Non-supplement category
other dietary supplements,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
other digestion & nausea,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
other digestion treatments,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
other digestive supplements,REMAP,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,Maps to DIGESTIVE AIDS & ENZYMES / DIGESTIVE AIDS & ENZYMES
other dog health supplies,REMOVE,,,Non-supplement category
other essential fatty acids,REMAP,OIL CATEGORY,ALL OTHER OIL,Maps to OIL CATEGORY / ALL OTHER OIL
other exercise accessories,REMOVE,,,Non-supplement category
other eye skin care,REMOVE,,,Non-supplement category
other face treatments & care,REMOVE,,,Non-supplement category
other facial treatments,REMOVE,,,Non-supplement category
other feminine care,REMOVE,,,Non-supplement category
other first aid,REMOVE,,,Non-supplement category
other hair styling products,REMOVE,,,Non-supplement category
other hair treatments,REMOVE,,,Non-supplement category
other health diagnostic supplies,REMOVE,,,Non-supplement category
other health diagnostic tools,REMOVE,,,Non-supplement category
other herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
other home test,REMOVE,,,Non-supplement category
other intimate health,REMOVE,,,Non-supplement category
other medical & healthcare supplies,REMOVE,,,Non-supplement category
other men's hair removal,REMOVE,,,Non-supplement category
other mineral supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
other nuts,REMOVE,,,Non-supplement category
other pet flea & tick control,REMOVE,,,Non-supplement category
other playground equipment,REMOVE,,,Non-supplement category
other pregnancy & maternity care,REMOVE,,,Non-supplement category
other salon & spa equipment,REMOVE,,,Non-supplement category
other seeds,REMOVE,,,Non-supplement category
other sexual wellness,REMOVE,,,Non-supplement category
other skin care tools & accessories,REMOVE,,,Non-supplement category
other spice,REMOVE,,,Non-supplement category
other spices,REMOVE,,,Non-supplement category
other sugar substitutes,REMOVE,,,Non-supplement category
other themogenics supplements,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
other thermogenics supplements,REMOVE,,,Non-supplement category
other vinegars,REMOVE,,,Non-supplement category
other vitamin b supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
packaged jalapenos,REMOVE,,,Non-supplement category
pain relief rubs & ointments,REMOVE,,,Non-supplement category
pain relievers,REMAP,OTC,OTC - PAIN & INFLAMMATION,Maps to OTC / OTC - PAIN & INFLAMMATION
panty liners,REMOVE,,,Non-supplement category
paprika spice,REMOVE,,,Non-supplement category
parmesan cheese,REMOVE,,,Non-supplement category
parsley spice,REMOVE,,,Non-supplement category
peanuts,REMOVE,,,Non-supplement category
pecans,REMOVE,,,Non-supplement category
performance enhancers & stimulants,REMOVE,,,Non-supplement category
period underwear,REMOVE,,,Non-supplement category
"perms, relaxers & texturizers",REMOVE,,,Non-supplement category
personal care wipes,REMOVE,,,Non-supplement category
personal cleansing wipes,REMOVE,,,Non-supplement category
pet dental care,REMOVE,,,Non-supplement category
pet dewormers & prevention,REMOVE,,,Non-supplement category
pet ear & eye care,REMOVE,,,Non-supplement category
pet flea & tick oral treatments,REMOVE,,,Non-supplement category
pet flea & tick shampoo,REMOVE,,,Non-supplement category
pet flea powders & sprays,REMOVE,,,Non-supplement category
pet home test kits,REMOVE,,,Non-supplement category
pet nursing supplies,REMOVE,,,Non-supplement category
pet recovery collars & suits,REMOVE,,,Non-supplement category
pet relaxants,REMOVE,,,Non-supplement category
piercing & tattoo supplies,REMOVE,,,Non-supplement category
pistachio nuts,REMOVE,,,Non-supplement category
plant powders,REMAP,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,PROTEIN & MEAL REPLACEMENT POWDER,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENT POWDER
play & swing sets,REMOVE,,,Non-supplement category
play set attachments,REMOVE,,,Non-supplement category
playground balls,REMOVE,,,Non-supplement category
playhouses,REMOVE,,,Non-supplement category
poppy seed spice,REMOVE,,,Non-supplement category
post-workout & recovery supplements,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
postpartum care products,REMOVE,,,Non-supplement category
potassium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
pre-work nitric oxide boosters,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
pre-work powders,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
pre-workout nitric oxide boosters,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
pre-workout powders,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
pregnancy & maternity care products,REMOVE,,,Non-supplement category
pregnancy care,REMOVE,,,Non-supplement category
pregnancy maternity pillows,REMOVE,,,Non-supplement category
prenatal vitamins,REMAP,COMBINED MULTIVITAMINS,PRENATAL,Maps to COMBINED MULTIVITAMINS / PRENATAL
probiotics,REMAP,PREBIOTICS & PROBIOTICS,PREBIOTICS & PROBIOTICS,Maps to PREBIOTICS & PROBIOTICS / PREBIOTICS & PROBIOTICS
professional massage equipment,REMOVE,,,Non-supplement category
protein powder blends,REMAP,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,PROTEIN & MEAL REPLACEMENT POWDER,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENT POWDER
pumpkin seeds,REMOVE,,,Non-supplement category
ready to drink protein,REMAP,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,PROTEIN & MEAL REPLACEMENT LIQUID,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENT LIQUID
red wine vinegars,REMOVE,,,Non-supplement category
red yeast rice herbal supplements,REMAP,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,Maps to MISCELLANEOUS SUPPLEMENTS / MISCELLANEOUS SUPPLEMENTS
reusable eye masks & pillows,REMOVE,,,Non-supplement category
reusable menstrual liners & pads,REMOVE,,,Non-supplement category
reusable period liners & pads,REMOVE,,,Non-supplement category
rosemary spice,REMOVE,,,Non-supplement category
royal jelly,REMAP,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,Maps to FOOD SUPPLEMENTS / FOOD SUPPLEMENTS
saffron spice,REMOVE,,,Non-supplement category
sage leaf spice,REMOVE,,,Non-supplement category
salon & spa equipment,REMOVE,,,Non-supplement category
salon chairs & stools,REMOVE,,,Non-supplement category
salon sanitation & disinfection,REMOVE,,,Non-supplement category
salon stations & tables,REMOVE,,,Non-supplement category
sauna suits,REMOVE,,,Non-supplement category
savory spice,REMOVE,,,Non-supplement category
saw palmetto herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
selenium supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
sesame,REMOVE,,,Non-supplement category
sesame oil,REMOVE,,,Non-supplement category
sesame seed spice,REMOVE,,,Non-supplement category
sex bondage gear & accessories,REMOVE,,,Non-supplement category
sex lubricants,REMOVE,,,Non-supplement category
sex toys,REMOVE,,,Non-supplement category
single homeopathic remedies,REMAP,HOMEOPATHICS,HOMEOPATHICS,Maps to HOMEOPATHICS / HOMEOPATHICS
sinus medicine,REMAP,OTC,"OTC - COUGH, COLD & FLU","Maps to OTC / OTC - COUGH, COLD & FLU"
skin care devices,REMOVE,,,Non-supplement category
skin care kits & sets,REMOVE,,,Non-supplement category
skin care sets & kits,REMOVE,,,Non-supplement category
skin care tools & devices,REMOVE,,,Non-supplement category
skin healing ointments & balms,REMOVE,,,Non-supplement category
sleeping masks,REMOVE,,,Non-supplement category
smoothies,REMOVE,,,Non-supplement category
snore reducing aids,REMOVE,,,Non-supplement category
soft drink mixes,REMOVE,,,Non-supplement category
sound therapy & tuning forks,REMOVE,,,Non-supplement category
sour cream,REMOVE,,,Non-supplement category
spa treatment devices,REMOVE,,,Non-supplement category
speed & agility training,REMOVE,,,Non-supplement category
sphygmomanometers,REMOVE,,,Non-supplement category
stethoscopes & accessories,REMOVE,,,Non-supplement category
stevia herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
stevia sugar substitutes,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
sugars,REMOVE,,,Non-supplement category
sunflower seeds,REMOVE,,,Non-supplement category
superfoods,REMAP,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,Maps to FOOD SUPPLEMENTS / FOOD SUPPLEMENTS
surgical supplies & tools,REMOVE,,,Non-supplement category
sweet basil leaf spice,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
tampons,REMOVE,,,Non-supplement category
tattoo supplies & care,REMOVE,,,Non-supplement category
testosterone boosters,REMAP,PERFORMANCE NUTRITION,PERFORMANCE NUTRITION,Maps to PERFORMANCE NUTRITION / PERFORMANCE NUTRITION
therapy hot water bottles,REMOVE,,,Non-supplement category
thyme spice,REMOVE,,,Non-supplement category
trace minerals,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
trampolines & accessories,REMOVE,,,Non-supplement category
treadmill accessories,REMOVE,,,Non-supplement category
treadmills,REMOVE,,,Non-supplement category
truffle,REMOVE,,,Non-supplement category
truffle oil,REMOVE,,,Non-supplement category
tubular bandages & wraps,REMOVE,,,Non-supplement category
turmeric & curcumin supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
turmeric herbal supplements,REMAP,HERBAL REMEDIES,NON-SPECIFIC,Maps to HERBAL REMEDIES / NON-SPECIFIC
turmeric spice,REMOVE,,,Non-supplement category
tweezers,REMOVE,,,Non-supplement category
unclassified,REMOVE,,,Non-supplement category
vaginal moisturizers,REMOVE,,,Non-supplement category
vanilla beans spice,REMOVE,,,Non-supplement category
vegetable,REMOVE,,,Non-supplement category
vegetable oil,REMOVE,,,Non-supplement category
virus & infection test kits,REMOVE,,,Non-supplement category
vitamin a supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin b-complex,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin b12,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin b3 (niacin),REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin b6,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin b7 (biotin),REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin b9 (folic acid),REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin bioflavonoid complex,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin c-complex,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin d supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin e supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
vitamin k supplements,REMAP,BASIC VITAMINS & MINERALS,LETTER VITAMINS,Maps to BASIC VITAMINS & MINERALS / LETTER VITAMINS
walnuts,REMOVE,,,Non-supplement category
water flavoring drops,REMOVE,,,Non-supplement category
weight gainers,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
weight loss bars,REMOVE,,,Non-supplement category
weight loss detox & cleanse,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
weight loss diet kits & systems,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
weight loss diuretics,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
weight loss shakes & powders,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
weight loss supplements,REMAP,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,Maps to WEIGHT MANAGEMENT FORMULAS / WEIGHT MANAGEMENT FORMULAS
whey protein,REMAP,PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS,PROTEIN & MEAL REPLACEMENTS POWDER,Maps to PROTEIN SUPPLEMENTS & MEAL REPLACEMENTS / PROTEIN & MEAL REPLACEMENTS POWDER
women jeans,REMOVE,,,Non-supplement category
wound & scar care,REMOVE,,,Non-supplement category
wound care,REMOVE,,,Non-supplement category
xylitol sugar substitutes,REMOVE,,,Non-supplement category
yogurt,REMOVE,,,Non-supplement category
zinc supplements,REMAP,BASIC VITAMINS & MINERALS,MINERALS,Maps to BASIC VITAMINS & MINERALS / MINERALS
