Product_ID,ASIN/UPC Key,MI: Brand,MI: Description,Source Category Trx,Source Subcategory Trx,Dollars in USD
89,B08BGWRSX2,K&H PET PRODUCTS,K&H PET PRODUCTS MOTHER'S HEARTBEAT CALMING DOG TOY BONE PILLOW GRAY MEDIUM BREED HEARTBEAT 10 INCH,PET HEALTH SUPPLIES,PET RELAXANTS,
90,B0DNFN8T7Q,HINZIC,"HINZIC 2PCS NATURAL DIMPLE MAKERS, FACIAL MUSCLE DIMPLE TRAINER, PINK EXERCISER LIFT TOOLS FOR WOMEN BEAUTIFUL SMILE",SKIN CARE TOOLS & ACCESSORIES,OTHER SKIN CARE TOOLS & ACCESSORIES,9.78
91,B0DB8J22CB,JJSHUND,"6 PCS RESISTANCE BANDS FOR WORKING OUT, EXERCISE LOOP BANDS FOR WOMEN AND MEN, ELASTIC STRETCH BANDS WORKOUT BANDS FOR YOGA PILATES FITNESS HOME GYM BODY STRETCHING BOOTY LEGS STRENGTH TRAINING",FITNESS EQUIPMENT & ACCESSORIES,EXERCISE BANDS,316.19
92,B0D93N7GZM,OH MY CHEWY,"CENTER-FILLED MAGNESIUM GLYCINATE GUMMIES 400MG - HIGH ABSORPTION FOR KIDS, TEENS & ADULTS - SUPPLEMENT FOR SLEEP, CALM & MUSCLE RELAXATION WITH B6 & D3 - GLUTEN FREE & VEGAN FRIENDLY - 120 COUNT",MINERALS,MAGNESIUM SUPPLEMENTS,14560.83
93,B0F3VLXJ42,HERBALIFE NUTRITION,"HERBALIFE NUTRITION PERSONALIZED PROTEIN POWDER, HEALTH SUPPLEMENT FOR ADULTS (200 GRAM, UNFLAVORED)",PROTEIN,PROTEIN POWDER BLENDS,
94,B0FDB59YWX,WREWING,"FACIAL CLEANSING BRUSH, 3IN1 SILICONE FACE SCRUBBER, WATERPROOF FACIAL SCRUBBER FOR DEEP CLEANSING, RECHARGEABLE FACE EXFOLIATION BRUSH WITH 2 ADJUSTABLE SPEEDS, FACE SPIN BRUSH FOR WOMEN MEN (PINK)",SKIN CARE TOOLS & ACCESSORIES,SKIN CARE DEVICES,81.86
95,B09SD3F2XN,CESSBONG,INFLATABLE WHITE BOUNCE HOUSE WITH AIR BLOWER (COMMERCIAL GRADE 15X15X12FT CASTLE),PLAY EQUIPMENT,INFLATABLE BOUNCERS,
96,B0B4MBM3D6,SECRETS OF THE TRIBE,"SECRETS OF THE TRIBE TRIBAL COUGH EASE ALCOHOL-FREE EXTRACT, HIGH-POTENCY HERBAL DROPS, TINCTURE MADE FROM LOBELIA, CINNAMON, PEPPERMINT, GINGER, ELDERBERRY, SLIPPERY ELM. COUGH FORMULA 2 OZ",COUGH & COLD,COUGH DROPS & LOZENGES,47.98
97,B0FC4GYHK5,VIVALIS,"VITTABURNLIQUIDDROPSÂNATURALENERGY&WELLNESSBOOSTER,PREMIUMHERBALFORMULA",HERBAL SUPPLEMENTS,OTHER HERBAL SUPPLEMENTS,86.1
98,B0D5Z131HZ,YOTANGO,"4 PACK FLEA COLLAR FOR DOGS, DOG FLEA COLLAR WATERPROOF, 32 MONTHS PREVENTION, DOG FLEAS AND TICK TREATMENT, ADJUSTABLE FLEAS AND TICK PROTECTION FOR DOGS PUPPY(BLUE & PINK)","PET FLEA, TICK & WORM CONTROL",DOG FLEA & TICK COLLARS,55274.74
99,B09Z1F981N,MIXHERS,MIXHERS HERHYDRATION  ELECTROLYTES POWDER PACKETS 15 HYDRATION PACKETS  SUGAR FREE BLUEBERRY COCONUT,BEVERAGE MIXERS & ADDITIVES,ELECTROLYTE DRINK MIXES,
100,B0D2L5D3QB,NUTRARIZE,"NANO DEFENSE PRO SUPPLEMENT, (OFFICIAL) NANO DEFENSE PRO ADVANCED NAIL SUPPORT CAPSULES, NANO DEFENSE PRO PILLS FOR HEALTHY FINGERNAILS AND NAIL GROWTH, NANO DEFENSEPRO REVIEWS (60 CAPSULES)",WEIGHT GAIN & LOSS SUPPLEMENTS,WEIGHT LOSS SUPPLEMENTS,111.8
