[2026-01-01T04:39:27.188995] RUN START: uncoded_amz_2025_p6 | Run: run_1
[2026-01-01T04:39:27.189881] ================================================================================
[2026-01-01T04:39:27.189946] STARTING PRODUCTION ORCHESTRATOR
[2026-01-01T04:39:27.189990] ================================================================================
[2026-01-01T04:39:27.190028] Input file: data/input/uncoded_amz_2025_p6.csv
[2026-01-01T04:39:27.190061] Total records: 21694
[2026-01-01T04:39:27.190096] Max workers: 100
[2026-01-01T04:39:27.190129] Batch size: 100
[2026-01-01T04:39:27.190162] File ID: amz_2025_p6
[2026-01-01T04:39:27.190193] Run ID: run_1
[2026-01-01T04:41:13.294239] Batch 1 complete: 100 products processed
[2026-01-01T04:42:24.188790] Batch 2 complete: 100 products processed
[2026-01-01T04:43:51.647831] Batch 3 complete: 100 products processed
[2026-01-01T04:45:43.016825] Batch 4 complete: 100 products processed
[2026-01-01T04:46:32.612512] Batch 5 complete: 100 products processed
[2026-01-01T04:48:09.007588] Batch 6 complete: 100 products processed
[2026-01-01T04:50:07.155796] Batch 7 complete: 100 products processed
[2026-01-01T04:51:22.622097] Batch 8 complete: 100 products processed
[2026-01-01T04:52:13.884510] Batch 9 complete: 100 products processed
[2026-01-01T04:53:42.341727] Batch 10 complete: 100 products processed
[2026-01-01T04:55:59.234388] Batch 11 complete: 100 products processed
[2026-01-01T04:57:38.413073] Batch 12 complete: 100 products processed
[2026-01-01T04:59:14.151268] Batch 13 complete: 100 products processed
[2026-01-01T05:00:54.041733] Batch 14 complete: 100 products processed
[2026-01-01T05:01:57.293227] Batch 15 complete: 100 products processed
[2026-01-01T05:03:33.813574] Batch 16 complete: 100 products processed
[2026-01-01T05:04:58.377993] Batch 17 complete: 100 products processed
[2026-01-01T05:06:23.472879] Batch 18 complete: 100 products processed
[2026-01-01T05:08:36.895508] Batch 19 complete: 100 products processed
[2026-01-01T05:10:10.489479] Batch 20 complete: 100 products processed
[2026-01-01T05:11:21.226221] Batch 21 complete: 100 products processed
[2026-01-01T05:12:48.745012] Batch 22 complete: 100 products processed
[2026-01-01T05:14:08.460927] Batch 23 complete: 100 products processed
[2026-01-01T05:15:13.715829] Batch 24 complete: 100 products processed
[2026-01-01T05:16:21.471476] Batch 25 complete: 100 products processed
[2026-01-01T05:17:30.492107] Batch 26 complete: 100 products processed
[2026-01-01T05:19:00.794745] Batch 27 complete: 100 products processed
[2026-01-01T05:21:18.437527] Batch 28 complete: 100 products processed
[2026-01-01T05:22:43.016683] Batch 29 complete: 100 products processed
[2026-01-01T05:23:48.734685] Batch 30 complete: 100 products processed
[2026-01-01T05:25:15.891136] Batch 31 complete: 100 products processed
[2026-01-01T05:26:33.876475] Batch 32 complete: 100 products processed
[2026-01-01T05:27:37.973108] Batch 33 complete: 100 products processed
[2026-01-01T05:29:32.480540] Batch 34 complete: 100 products processed
[2026-01-01T05:31:40.021627] Batch 35 complete: 100 products processed
[2026-01-01T05:35:25.365276] Batch 36 complete: 100 products processed
[2026-01-01T05:36:38.470527] Batch 37 complete: 100 products processed
[2026-01-01T05:37:52.425432] Batch 38 complete: 100 products processed
[2026-01-01T05:39:14.687460] Batch 39 complete: 100 products processed
[2026-01-01T06:36:41.846659] Batch 40 complete: 100 products processed
[2026-01-01T06:38:12.338527] Batch 41 complete: 100 products processed
[2026-01-01T06:39:31.644091] Batch 42 complete: 100 products processed
[2026-01-01T06:41:10.782332] Batch 43 complete: 100 products processed
[2026-01-01T06:46:22.417852] Batch 44 complete: 100 products processed
[2026-01-01T06:53:27.643819] Batch 45 complete: 100 products processed
[2026-01-01T08:57:46.829627] Batch 46 complete: 100 products processed
[2026-01-01T08:58:56.309888] Batch 47 complete: 100 products processed
[2026-01-01T09:39:11.461524] Batch 48 complete: 100 products processed
[2026-01-01T09:40:36.456964] Batch 49 complete: 100 products processed
[2026-01-01T09:42:37.371205] Batch 50 complete: 100 products processed
[2026-01-01T09:44:32.923825] Batch 51 complete: 100 products processed
[2026-01-01T09:46:16.460939] Batch 52 complete: 100 products processed
[2026-01-01T09:58:22.022944] Batch 53 complete: 100 products processed
[2026-01-01T09:59:46.487923] Batch 54 complete: 100 products processed
[2026-01-01T10:01:15.495232] Batch 55 complete: 100 products processed
[2026-01-01T10:02:56.703564] Batch 56 complete: 100 products processed
[2026-01-01T10:04:26.214716] Batch 57 complete: 100 products processed
[2026-01-01T11:49:29.226533] Batch 58 complete: 100 products processed
[2026-01-01T11:51:45.403076] Batch 59 complete: 100 products processed
[2026-01-01T11:53:36.880811] Batch 60 complete: 100 products processed
[2026-01-01T11:56:04.077973] Batch 61 complete: 100 products processed
[2026-01-01T11:58:17.200678] Batch 62 complete: 100 products processed
[2026-01-01T12:00:04.995434] Batch 63 complete: 100 products processed
[2026-01-01T12:04:41.011562] Batch 64 complete: 100 products processed
[2026-01-01T12:07:14.522254] Batch 65 complete: 100 products processed
[2026-01-01T12:09:52.951035] Batch 66 complete: 100 products processed
[2026-01-01T12:11:47.335447] Batch 67 complete: 100 products processed
[2026-01-01T12:14:08.495796] Batch 68 complete: 100 products processed
[2026-01-01T12:16:02.917047] Batch 69 complete: 100 products processed
[2026-01-01T12:18:30.082393] Batch 70 complete: 100 products processed
[2026-01-01T12:21:05.423153] Batch 71 complete: 100 products processed
[2026-01-01T12:23:01.756619] Batch 72 complete: 100 products processed
[2026-01-01T12:24:31.912574] Batch 73 complete: 100 products processed
[2026-01-01T12:26:44.911259] Batch 74 complete: 100 products processed
[2026-01-01T12:28:29.865773] Batch 75 complete: 100 products processed
[2026-01-01T13:42:52.626880] Batch 76 complete: 100 products processed
[2026-01-01T13:44:47.902505] Batch 77 complete: 100 products processed
[2026-01-01T13:46:35.476711] Batch 78 complete: 100 products processed
[2026-01-01T14:46:07.829940] Batch 79 complete: 100 products processed
[2026-01-01T14:47:33.557193] Batch 80 complete: 100 products processed
[2026-01-01T14:48:52.252672] Batch 81 complete: 100 products processed
[2026-01-01T14:50:32.581267] Batch 82 complete: 100 products processed
[2026-01-01T15:48:17.446401] Batch 83 complete: 100 products processed
[2026-01-01T15:49:50.644749] Batch 84 complete: 100 products processed
[2026-01-01T15:51:58.713634] Batch 85 complete: 100 products processed
[2026-01-01T15:53:35.627977] Batch 86 complete: 100 products processed
[2026-01-01T15:55:07.941933] Batch 87 complete: 100 products processed
[2026-01-01T15:57:30.392581] Batch 88 complete: 100 products processed
[2026-01-01T16:00:01.956671] Batch 89 complete: 100 products processed
[2026-01-01T16:02:14.043207] Batch 90 complete: 100 products processed
[2026-01-01T16:05:35.150268] Batch 91 complete: 100 products processed
[2026-01-01T16:08:37.062323] Batch 92 complete: 100 products processed
[2026-01-01T16:11:04.832955] Batch 93 complete: 100 products processed
[2026-01-01T16:13:45.692368] Batch 94 complete: 100 products processed
[2026-01-01T16:17:08.999775] Batch 95 complete: 100 products processed
[2026-01-01T16:19:08.889127] Batch 96 complete: 100 products processed
[2026-01-01T16:21:37.346882] Batch 97 complete: 100 products processed
[2026-01-01T16:23:40.041520] Batch 98 complete: 100 products processed
[2026-01-01T16:25:47.388145] Batch 99 complete: 100 products processed
[2026-01-01T16:27:36.787610] Batch 100 complete: 100 products processed
[2026-01-01T16:29:23.806122] Batch 101 complete: 100 products processed
[2026-01-01T16:30:49.415138] Batch 102 complete: 100 products processed
[2026-01-01T16:32:33.248943] Batch 103 complete: 100 products processed
[2026-01-01T16:34:39.749237] Batch 104 complete: 100 products processed
[2026-01-01T16:36:31.217696] Batch 105 complete: 100 products processed
[2026-01-01T16:38:35.950744] Batch 106 complete: 100 products processed
[2026-01-01T16:40:06.764263] Batch 107 complete: 100 products processed
[2026-01-01T16:42:27.720496] Batch 108 complete: 100 products processed
[2026-01-01T16:49:26.862389] Batch 109 complete: 100 products processed
