asin,title,brand,amazon_subcategory,reason
B017HAMT0E,ero 50 ml backside anal tightening cream,ero,intimate moisturizers,Amazon subcategory not found in lookup table
B08QTWC3PH,intimate feminine moisturizing cream for vulva and vaginal dryness relief hydrating soothing balm with hyaluronic acid collagen natural ph balance hormone-free daily care for women 100ml/3.4 fl oz,multivitamin,intimate moisturizers,Amazon subcategory not found in lookup table
B0DQDCPTQN,"hydrogyn vulva balm  vaginal moisturizer & menopause support  relieves feminine dryness, itching & irritation  hormone-free vaginal moisturizer for women  ph balanced daily intimate skin care",terramed just think comfort,intimate moisturizers,Amazon subcategory not found in lookup table
B0F1WZCKT2,"sweetspot labs moisture replenishing spray, hydrating feminine spray for dryness & skin barrier support, 1.69 oz.",sweetspot labs,intimate moisturizers,Amazon subcategory not found in lookup table
