keyword,ingredient,nw_category,nw_subcategory,old_nw_category,old_nw_subcategory,change_source,change_notes
5 htp,5HTP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
5-htp,5HTP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
5htp,5HTP,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
7 keto,Seven-Keto,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
7-keto,Seven-Keto,BASIC VITAMINS & MINERALS,DHEA & PREGNENOLONE & HORMONES,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
a d k,Vitamin A D K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
a-d-k,Vitamin A D K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
acacia fiber,Acacia Fiber,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
acacia senegal,Acacia Fiber,PROBIOTICS+,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,FIBER PRODUCTS & LAXATIVES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FIBER PRODUCTS & LAXATIVES/FIBER PRODUCTS & LAXATIVES' → NEW taxonomy: 'PROBIOTICS+/FIBER PRODUCTS & LAXATIVES'
acai,Acai,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
acemannan hydrogel,Acemannan Hydrogel,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
acetaminophen,Acetaminophen,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
acetyl l carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
acetyl l-carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
acetyl lcarnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
acetyl-l carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
acetyl-l-carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
acetyle-l carnitine,Acetyl L Carnitine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
actifruitcranberry,Cranberry,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
active hexose correlated compound,AHCC,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
adk,Vitamin A D K,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
adrenal cortex,Adrenal Glandular,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
adrenal cytotrophin,Adrenal Glandular,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
adrenal extract,Adrenal Glandular,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
adrenal glandular,Adrenal Glandular,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
adrenal natural glandular,Adrenal Glandular,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
african geranium,Pelargonium,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
african mango,African Mango,ACTIVE NUTRITION,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,WEIGHT MANAGEMENT FORMULAS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'WEIGHT MANAGEMENT FORMULAS/WEIGHT MANAGEMENT FORMULAS' → NEW taxonomy: 'ACTIVE NUTRITION/WEIGHT MANAGEMENT FORMULAS'
ahcc,AHCC,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
ala,Alpha Lipoic Acid,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
alfalfa,Alfalfa,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
algae,Algae,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
alive once daily,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
alive!,Multivitamin,COMBINED MULTIVITAMINS,COMBINED MULTIVITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
aloe,Aloe Vera,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
aloe vera,Aloe Vera,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
alpha lipoic acid,Alpha Lipoic Acid,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
amla,Gooseberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
andrographis,Andrographis,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
angelica,Angelica,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
anise,Anise,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
arabinogalactan,Larax A R A Larch,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
arabinogalactn,Larax A R A Larch,HERBAL REMEDIES,SINGLES,HERBAL/HOMEOPATHIC COLD & FLU,HERBAL SINGLES COLD & FLU,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL/HOMEOPATHIC COLD & FLU/HERBAL SINGLES COLD & FLU' → NEW taxonomy: 'HERBAL REMEDIES/SINGLES'
areds,Eye Health,BASIC VITAMINS & MINERALS,MINERALS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
arginine,Arginine,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
arnica,arnica,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
arnicare,arnicare,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
artichoke,Artichoke,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ash,Ash,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ashwaganda,ashwaganda,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ashwagandha,ashwaganda,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ashwaghandha,ashwaganda,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
aspirin,Aspirin,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
astaxanthin,Astaxanthin,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
astragalus,astragalus,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ayurvedic herbal supplement,Ayurvedic Herb,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
ayurvedic herbs - other,Ayurvedic Herb,HERBAL REMEDIES,FORMULAS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 1,Vitamin B1,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 12,Vitamin B12,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 2,Vitamin B2,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 3,Vitamin B3,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 5,Vitamin B5,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 6,Vitamin B6,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b 9,Folic Acid,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b complex,Vitamin Bcomplex,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b energy complex,Vitamin Bcomplex,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b-complex,Vitamin Bcomplex,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b1,Vitamin B1,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b12,Vitamin B12,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b2,Vitamin B2,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b3,Vitamin B3,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b5,Vitamin B5,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b6,Vitamin B6,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
b9,Folic Acid,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
bacopa,bacopa,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
baobab,baobab,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
baptisia,Wild Indigo,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
barberry,barberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
barley grass,Wheat Barley Grass,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
barleygrass,Wheat Barley Grass,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
basil,holybasil,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bay berry,bayberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bayberry,bayberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bcaa,BCAA,BASIC VITAMINS & MINERALS,AMINO ACIDS,AMINO ACIDS,AMINO ACIDS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'AMINO ACIDS/AMINO ACIDS' → NEW taxonomy: 'BASIC VITAMINS & MINERALS/AMINO ACIDS'
bee pollen,Bee Pollen,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
bee products (not propolis),Bee Products,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
bee propolis,Bee Propolis,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
beef liver,Liver Extract,HERBAL REMEDIES,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,FOOD SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'FOOD SUPPLEMENTS/FOOD SUPPLEMENTS' → NEW taxonomy: 'HERBAL REMEDIES/FOOD SUPPLEMENTS'
beet crystals,Beet Root,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
beet powder,Beet Root,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
beet root,Beet Root,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
beetroot,Beet Root,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
bella donna,Belladonna,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
belladonna,Belladonna,HOMEOPATHICS,NON-SPECIFIC,HOMEOPATHIC,HOMEOPATHIC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HOMEOPATHIC/HOMEOPATHIC' → NEW taxonomy: 'HOMEOPATHICS/NON-SPECIFIC'
benzocaine,Benzocaine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
benzodent,Benzocaine,OTC,OTC - NON-SPECIFIC,OTC,OTC,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'OTC/OTC' → NEW taxonomy: 'OTC/OTC - NON-SPECIFIC'
berberine,barberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
beta carotene,Beta Carotene,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
beta carotene vitamin a,Beta Carotene,BASIC VITAMINS & MINERALS,LETTER VITAMINS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
beta glucans,Beta Glucan,HERBAL REMEDIES,FOOD SUPPLEMENTS,,,Original (No change needed),Category/Subcategory already using NEW taxonomy
beta sitosterol,Beta Sitosterol,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
beta-sitosterol,Beta Sitosterol,MISCELLANEOUS SUPPLEMENTS,NON-SPECIFIC,MISCELLANEOUS SUPPLEMENTS,MISCELLANEOUS SUPPLEMENTS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'MISCELLANEOUS SUPPLEMENTS/MISCELLANEOUS SUPPLEMENTS' → NEW taxonomy: 'MISCELLANEOUS SUPPLEMENTS/NON-SPECIFIC'
betaine hci,Betaine H C L,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
betaine hcl,Betaine H C L,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
betaine hydrochloride,Betaine H C L,PROBIOTICS+,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,DIGESTIVE AIDS & ENZYMES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'DIGESTIVE AIDS & ENZYMES/DIGESTIVE AIDS & ENZYMES' → NEW taxonomy: 'PROBIOTICS+/DIGESTIVE AIDS & ENZYMES'
betony,betony,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bilberry,bilberry,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
billion,Probiotic,PROBIOTICS+,PREBIOTICS AND PROBIOTICS,PREBIOTICS & PROBIOTICS,PREBIOTICS & PROBIOTICS,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'PREBIOTICS & PROBIOTICS/PREBIOTICS & PROBIOTICS' → NEW taxonomy: 'PROBIOTICS+/PREBIOTICS AND PROBIOTICS'
bioflavonoid complex,Bioflavonoid Complex,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
bioperine,Bioperine,FATTY ACIDS,HEMP/CBD,HERBAL REMEDIES,SINGLES,MI Lookup.csv (2022 Taxonomy Update),Updated from OLD taxonomy: 'HERBAL REMEDIES/SINGLES' → NEW taxonomy: 'FATTY ACIDS/HEMP/CBD'
