asin,brand,title,amazon_subcategory,reasoning
B09QB23QS2,trueseamoss,"trueseamoss raw irish sea moss - makes 100oz of sea moss gel - wildcrafted seamoss dried whole superfood - for skin, hair, digestion - natural 8oz pack",other digestive supplements,Title keyword filter: 'gel'
B09QB6YW51,trueseamoss,trueseamoss sea moss raw gold - organic wildcrafted irish sea moss for digestion and skin health - makes 200 oz of gel - sundried 16oz,other digestive supplements,Title keyword filter: 'gel'
B09W9R62WQ,masgemes,"masgemes gemstone crystal tree of life - natural amethyst geode cluster base, chakra healing crystals, positive energy bonsai money feng shui home decor for good luck gift, 10-12",other alternative medicine,Title keyword filter: 'gemstone'
B09WDQP184,lmdprajapatis,lmdprajapatis 5.25 carat silver plated light green a+ quality natural peridot lab tested astrological gemstone adjustable ring for men or women's,other alternative medicine,Title keyword filter: 'gemstone'
B09YM43SLT,abhisubya,meditation kit - crystals and healing stones - tumbled crystals - 7 chakra stones - natural stones and crystals - polished stones - gemstone kits for healing,other alternative medicine,Title keyword filter: 'gemstone'
B09YP7WC61,masgemes,"masgemes chakra tree gemstone crystal treeof life,natural multi stone colorful tree with amethyst cluster base,positive energy healing crystals feng shui bonsai money tree,home office decor",other alternative medicine,Title keyword filter: 'gemstone'
B0B2HZYM8Y,fuqimanman2020,fuqimanman2020 spiritual healing crystal natural stone bead bracelets handmade adjustable braided wax rope wish cards yoga reiki relax anxiety jewelry gifts for couple bff friendship jewelry (chakra),other alternative medicine,Title keyword filter: 'jewelry'
B0B2JX8KF7,maxhemp,"4 pack organic hemp gummies 500,000 extra strengthen high potency with pure hemp oil extract vegan edible bear candy made in us",cbd & hemp extract products,Title keyword filter: 'candy'
B0B3TJ513F,jewever,jewever 2pcs anklet bracelets for women 7 chakra healing crystals essential oils diffuser worry stone energy balancing meditation yoga gifts beach foot (lava stone & moonstone),other alternative medicine,Title keyword filter: 'essential oil'
B0B5SZVX3W,massive beads,massive beads natural chakra healing power crystals macrame bracelet yoga double layer stone beads gemstone meditation relax anxiety bangle for unisex women men,other alternative medicine,Title keyword filter: 'gemstone'
B0B9HS1KBT,enzz,"enzz temple chanting tool, portable buddha machine for home for office for travel for temple",other alternative medicine,Title keyword filter: 'machine'
B0BCKKHJXS,fiyo,"fiyo fluorite crystal stone, natural crystals gemstone healing fluorite egg healing crystal pocket massage jade fluorite healing crystal gemstone ball",other alternative medicine,Title keyword filter: 'gemstone'
B0BDR7Y455,linalife,linalife 1.5 elephant statue quartz healing crystal carved stones tiger's eye gemstone reiki gemstone crafts statues elephant gifts collectible decor for home office desk,other alternative medicine,Title keyword filter: 'gemstone'
B0BFLJFCDW,gemshiner,unisex cabochon (4 * 6 mm) chrysoberyl 0.64 ct loose stone - natural chakra reiki polished pocket healing stones and crystal energy gemstones for meditation,other alternative medicine,Title keyword filter: 'gemstone'
B0BFYKNSGS,phoenix nutritionals,"high vitality multivitamin and mineral full spectrum gel easy swallow caps absorption potency liquid essential nutrient hair, skin, nails, adrenal, brain support blend, 120.0 count",multivitamins,Title keyword filter: 'gel'
B0BGLTJ2FW,amazing gemstone,amazing gemstone apatite buddhist prayer beads japa mala with 108 meditation beads (hand knotted),other alternative medicine,Title keyword filter: 'gemstone'
B0BGLWVJMX,amazing gemstone,amazing gemstone bronzite buddhist prayer beads japa mala with 108 meditation beads (hand knotted),other alternative medicine,Title keyword filter: 'gemstone'
B0BKVTCWH3,asingeloo,"150pcs 8mm rose quartz beads,natural gemstone beads round loose beads for jewelry making energy healing power stones",other alternative medicine,Title keyword filter: 'jewelry'
B0BLC2RD8S,gem avenue,"naturaltanzanitecrystalârawroughblue-violetgemstonemineralforcollectors,lapidary,jewelrymaking,ordisplayâuncuttanzanitestonespecimen-rgh261",other alternative medicine,Title keyword filter: 'jewelry'
B0BLC5VPG4,gem avenue,natural raw rough tanzanite crystal gemstone 3 to 4 grams,other alternative medicine,Title keyword filter: 'gemstone'
B0BM4TQ7RJ,healthergize,"healthergize hemp gummies premium-delicious cherry twins-natural hemp candy-for sleep, relax, calm, chill, party, discomfort-made in usa",cbd & hemp extract products,Title keyword filter: 'candy'
B0BN1YZBK2,crow,"crow manoll syrup natural health tonic, 400 g",cough syrups & liquids,Title keyword filter: 'syrup'
B0BPPYW31W,goldy,goldy amrita bindu syrup 120ml,cough syrups & liquids,Title keyword filter: 'syrup'
B0BT9WJBV4,subsh,subsh labradorite crystal ball - crystal sphere - gemstone ball with stand - healing crystal ball - gazing ball with stand - sphere gifts - large crystal ball - home decor,other alternative medicine,Title keyword filter: 'gemstone'
B0BTMBSG2M,subsh,subsh rainbow moonstone tumble gemstone - chakra healing crystals - smooth stones - stone essentials - rocks and crystals - polished rocks large - gem stone kit - witchy gifts (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTMC4D1Y,subsh,subsh lepidolite tumbled stones and crystals bulk - healing stones - pointy rocks - pack of crystals rocks - recover gemstone - rocks polished - smooth stones - spiritual gemstones (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTMCL3N8,subsh,subsh citrine tumble gemstone - smooth crystal stone - healing crystals set - bundle of crystals - meditation accessories - cool rocks - crystal sets for healing - spiritual gifts (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTMD6SHM,subsh,subsh green jade natural gemstones - tumbled crystals - smooth stones - positive crystals - small crystals bulk - stone chakra set - healing reiki crystals - stone to decoration (10 pcs),other alternative medicine,Title keyword filter: 'gemstone'
B0BTPDJBLK,naribabu,tiger eye crystal - vector pendulum - healing crystals and stones - spiritual pendulum - chakra crystals pendulum - divination crystals - gemstones and crystals - reiki crystals and healing stones,other alternative medicine,Title keyword filter: 'gemstone'
B0BTPFHY42,naribabu,"naribabu lapis lazuli tree, crystal for positive energy, feng shui stones, spiritual gifts, gemstone bonsai, tree of life decor, good luck gems",other alternative medicine,Title keyword filter: 'gemstone'
B0BTRV726T,justinstones,hand carved pines nut pines cones filbert healing crystals natural gemstone amulets reiki pendant necklace 22 inch,other alternative medicine,Title keyword filter: 'gemstone'
B0BTT93CYN,subsh,subsh golden pyrite crystals and healing stones - polished moldavite - tumble gemstone - crystal set - decorative rocks - gem stones rocks crystals - boji stones pair - reiki supplies,other alternative medicine,Title keyword filter: 'gemstone'
B0BTVNVDHZ,subsh,"sodalite crystal, raw crystals bulk, healing crystals, metaphysical supplies, sodalite, crystal, raw rocks, raw gemstones, gemstones for tumbling, stones and crystals from india, sodalite raw 1lb",other alternative medicine,Title keyword filter: 'gemstone'
B0BTVPNXJV,subsh,"black tourmaline, rough crystals and stones, healing crystals, tourmaline, crystal set, authentic gemstones, gemstones for crafts, precious gemstones, spiritual stones, raw stones, tourmaline crystal",other alternative medicine,Title keyword filter: 'gemstone'
B0BVB4VYFG,naribabu,green jade crystal - healing crystal wands - energy stones and crystals - stone wand - green jade gemstone - healing wand - gemstone wand - small crystal tower bulk - natural stones,other alternative medicine,Title keyword filter: 'gemstone'
B0BVFXFSYB,naribabu,naribabu rainbow moonstone - crystal wands for healing - crystal set wicca - gemstone wand - meditation crystal - crystal point set - moonstone crystals - reiki wand - meditation decor,other alternative medicine,Title keyword filter: 'gemstone'
B0BVTX5J8H,rompe pecho,"rompe pecho cf, cold and flu syrup, 6 fl oz, bottle (pack of 3)",cough syrups & liquids,Title keyword filter: 'syrup'
B0BWC8R1TS,aeryon ashlie wellness,"mãveitstoolsoftenersforwomenbyaeryonwellnessall-naturallaxativefreecoloncleanseranddetoxforweightlossibsreliefprovidesbloatingrelief,restoresguthealth-60cap",laxatives,Title keyword filter: 'cleanser'
B0BWSCKH8K,masgemes,"chakra tree of life natural gemstone crystal tree,healing stones(406 stone count) with amethyst cluster,fengshui decor bonsai money tree,positive energy good luck gift size 8.5-9",other alternative medicine,Title keyword filter: 'gemstone'
B0BXJNKYJN,masgemes,"masgemes rose quartz gemstone crystal tree of life, healing stone of emotional positive energy for love, good luck, chakra, feng shui decor, spiritual gift, size 7.5-8",other alternative medicine,Title keyword filter: 'gemstone'
B0BZWP4YJ4,biogenic foods,tonic-klenz - non-gmo alkalizing & energizing complete flush and natural cleanser,weight loss detox & cleanse,Title keyword filter: 'cleanser'
B0C1N74PGK,hmone,"3 packs organic hemp gummies extra strengthen high potency with pure hemp oil extract vegan edible bear candy - non-gmo, vegan, low sugar, made in usa",cbd & hemp extract products,Title keyword filter: 'candy'
B0C3GS3J3B,anaya agate,adjustablecrystalbraceletâyellowjaspergemstonebeadbraceletâchicgemstonebraceletformenandwomenâ8mmroundhealingcrystalbeadbracelets(yellowjasper),other alternative medicine,Title keyword filter: 'gemstone'
B0C3GSVFYS,anaya agate,"mariamjasperbraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3GT9ND9,anaya agate,"kiwijasperbraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3GVB2Y4,anaya agate,"dalmatianjasperbraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3GWFVZS,anaya agate,"7chakrabraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3GWQ6N2,anaya agate,"naturalaaa-gradetigereyebraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3GX36V4,anaya agate,"amazonitebraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3GXC5FT,anaya agate,"goldsheenobsidianbraceletâhealingcrystalbraceletforwomen,menâchicgemstonebraceletformenandwomenâ8mmroundbeadbraceletsforspiritualhealing,protection,positiveenergy",other alternative medicine,Title keyword filter: 'gemstone'
B0C3QMJRFR,wholesalegemshop,wholesalegemshop 3 inch (70 mm) gemstones angelite obelisk tower jumbo facet aura rock crystal natural polished earth wand spirit,other alternative medicine,Title keyword filter: 'gemstone'
B0C4477KK7,herbion,"herbion naturals cough syrup with honey-5floz-relieve cough & soothes sore throat-optimizes immune-promotes lung function-for adults & kids 13 months+, 24 pack",cough syrups & liquids,Title keyword filter: 'syrup'
B0C5SYVRLD,tgh,"tgh natural carnelian chips crystal earring, yoga jewelry, meditation earring, raw gemstone, energy healing crystals, birthday, gemstone jewelry, gift for her, valentine day gift (carnelian)",other alternative medicine,Title keyword filter: 'jewelry'
B0C5T1J59R,tgh,"tgh natural neon apatite chips crystal earring, yoga jewelry, meditation earring, raw gemstone, energy healing crystals, birthday, gemstone jewelry, valentine day gift (neon apatite)",other alternative medicine,Title keyword filter: 'jewelry'
B0C5T317W3,tgh,"tgh tgh natural black spinel chips crystal earring, yoga jewelry, meditation earring, energy healing crystals, birthday, gemstone jewelry, gift for her, valentine day gift (black spinel)",other alternative medicine,Title keyword filter: 'jewelry'
B0C5ZCKH58,pyor,"pyor labradorite crystal, round crystal ball, spiritual crystals, crystal balls, crystals and stones, gemstone collection, decorative balls, energy crystals, meditation altar",other alternative medicine,Title keyword filter: 'gemstone'
B0C6SK1577,justinstones,justinstones carved hematite gemstone peace angel pocket guardian angel healing statue 2 inch,other alternative medicine,Title keyword filter: 'gemstone'
B0C7KSTVMY,tgh,"tgh natural bloodstone beads crystal earring, gemstone round beads, energy healing crystals, birthday, gift for her, jewelry, valentine day gift (bloodstone)",other alternative medicine,Title keyword filter: 'jewelry'
B0C9SKNGVY,caiyao,caiyao 2 couple unisex healing stone bracelets natural gemstone charm stretch bracelet energy heart charm tiger eye 8mm beads bracelet handmade,other alternative medicine,Title keyword filter: 'gemstone'
B0CBBMVLVS,tgh,"natural clear quartz heart crystals earring, heart gemstone, energy healing crystals, birthday, gift for her, gemstone jewelry, valentine day gift (clear quartz)",other alternative medicine,Title keyword filter: 'jewelry'
B0CBQK3QNG,dr teal's,"dr. teal's hemp seed oil foaming bath gift set (2 pack, 34oz ea) - cannabis sativa hemp seed oil - essential oils blended with pure epsom salt calm the senses & alleviates daily stress",cbd & hemp extract products,Title keyword filter: 'essential oil'
B0CCJVH1VJ,gem avenue,selenite heart crystal gemstone charging bowl -rsh216,other alternative medicine,Title keyword filter: 'gemstone'
B0CCRWDWPX,tgh,"natural neon apatite beads with raw bracelet micro faceted gemstones jewelry for her, birthstone energy healing crystals, silver plated chain 8 inch, valentine day gift",other alternative medicine,Title keyword filter: 'jewelry'
B0CCSF9Y4T,amazing gemstone,"howlite mala beads 108 hand knotted prayer beads - meditation beads mala for women men - natural gemstones healing crystal mala for yoga, prayer, meditation japa mala (plain)",other alternative medicine,Title keyword filter: 'gemstone'
B0CCSGVCGS,amazing gemstone,"picture jasper mala beads 108 hand knotted prayer beads - meditation beads mala for women men - natural gemstones healing crystal mala for yoga, prayer, meditation japa mala (hand knotted)",other alternative medicine,Title keyword filter: 'gemstone'
B0CCYLMVDD,abhisubya,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (peach moonstone),other alternative medicine,Title keyword filter: 'gemstone'
B0CCYM46BM,abhisubya,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (red jasper),other alternative medicine,Title keyword filter: 'gemstone'
B0CCYM4HKP,abhisubya,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (moss agate),other alternative medicine,Title keyword filter: 'gemstone'
B0CCYM8V5D,abhisubya,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (serpentine),other alternative medicine,Title keyword filter: 'gemstone'
B0CCYMR59T,abhisubya,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (rose quartz),other alternative medicine,Title keyword filter: 'gemstone'
B0CCYMXNCW,abhisubya,abhisubya healing crystal - crystals and healing stones pendant - raw rough gemstone pendant - crystal gifts (green aventurine),other alternative medicine,Title keyword filter: 'gemstone'
B0CG9S469J,jtlb,to buddhist chanting machine dedicated black prayer machine for the single cycle hall of amitabha buddha without battery,other alternative medicine,Title keyword filter: 'machine'
B0CGL72R2S,top plaza,top plaza chakra healing crystal bracelet 8mm stone beads heart charm stretch bracelet handmade energy anxiety natural tiger eye gemstone bracelet jewelry for women christmas gifts,other alternative medicine,Title keyword filter: 'jewelry'
B0CGRV3JPW,crystalmiracle,crystalmiracle vasonite 7 mm beaded round stretch string crystal healing fashion jewelry gift handcrafted accessory,other alternative medicine,Title keyword filter: 'jewelry'
B0CGSKKZQS,o positiv,"flo pms gummies for women - proactive pms relief - targets hormonal acne, bloating, cramps, & mood swings with chasteberry, vitamin b6, & lemon balm - pms gummies (pack of 2)",cbd & hemp extract products,Title keyword filter: 'balm'
B0CGVVXRDB,baby merlin's magic sleepsuit,"baby merlin's magic merlin sleepsuit - microfleece baby transition swaddle - sleep suit for infants 3-6 months - soft cotton, double zipper for easy diaper changes - cream",medicinal sleep aids,Title keyword filter: 'cream'
B0CH8CYFSV,sunnyclue,sunnyclue 2 strands turquoise chips bulk turquoise chip stones gemstone chips bulk healing energy gemstone bead lucky turquoise irregular stone beads for jewelry making garden vase plants home decor,other alternative medicine,Title keyword filter: 'jewelry'
B0CHF9WY5J,nklaus,nklaus natural septaria 30mm spherical shape gemstone energy balance and creativity 14911,other alternative medicine,Title keyword filter: 'gemstone'
B0CHFKNBG5,anaya agate,"anayaagatetigereyeangelstatue,2beautifulgemstoneguardianangel,naturalcrystalangel,hand-carvedangelcharmsforprotection,love,peace,andpositiveenergy,angelfigurinesdãcor",other alternative medicine,Title keyword filter: 'gemstone'
B0CHVLTX58,asingeloo,asingeloo 5-8mm irregular shape natural green strawberry quartz nugget gemstones beads rough gems stones gemstone loose beads for jewelry making 15 a strand,other alternative medicine,Title keyword filter: 'jewelry'
B0CJ8CVZWC,goodstuff,premium st. lucia sea moss gel: nature's ultimate multi-vitamin and skin superfood (16oz),superfoods,Title keyword filter: 'gel'
B0CJCD2JM3,maxhemp,"2 pack organic hemp gummies extra strengthen high potency with pure hemp oil extract, vegan, non-gmo, edible bear candy made in us",cbd & hemp extract products,Title keyword filter: 'candy'
B0CJCP6DD3,my adventure to fit,"keto electrolytes powder no sugar - made in the usa electrolyte mix for women & men - hydrating electrolyte drinks for energy, muscle function, & appetite control (pear candy, 37.5 servings)",electrolyte drink mixes,Title keyword filter: 'candy'
B0CJF3LS7Y,dttra,"biykog motion sickness patches, sea sickness patch for car and boat rides, cruise and airplane trips-for adults and kids (24 count)",motion sickness & nausea,Title keyword filter: 'patch'
B0CJN8Q4FF,hmone,"hmone hemp gummies high potency organic extra strength made with hemp oil vegan edible bear candy, non-gmo, low sugar, made in usa - 2 packs",cbd & hemp extract products,Title keyword filter: 'candy'
B0CJR5K1LX,dttra,"biykog motion sickness patches, sea sickness patch for car and boat rides, cruise and airplane trips-for adults and kids (36 count)",motion sickness & nausea,Title keyword filter: 'patch'
B0CM2RN3Y2,just ripe nutrition,"colonbright psyllium husk powder colon cleanser - colon cleanse for constipation relief, bloating relief & gut health, vegan, gluten free fiber supplement - healthy digestive function 30 servings (1)",other digestive supplements,Title keyword filter: 'cleanser'
B0CMDCYSSL,hunter & gather,"hunter & gather collagen creamer for coffee i creamy cacao i 300g i grass fed type 1 & type 3 bovine collagen peptides i dairy free i 13,000mg per serve i support hair, skin, nails, muscles",collagen supplements,Title keyword filter: 'cream'
B0CN2PVFT5,massive beads,massive beads natural healing power gemstone crystal beads unisex adjustable macrame bracelets,other alternative medicine,Title keyword filter: 'gemstone'
B0CN2SKHG4,astroghar,"honey yellow calcite crystal david star shaped crystal for men and women, small, metal, no gemstone",other alternative medicine,Title keyword filter: 'gemstone'
B0CN9D7JVS,feraco,"feraco magnetic bracelets for women,titanium steel magnetic bracelet with neodymium magnets & sparkling crystals,jewelry gifts",other alternative medicine,Title keyword filter: 'jewelry'
B0CNPZ4BZR,eusice,"blue calcite rough rock, raw natural stone, chakra crystals, quality gemstones for reiki healing, wellness, meditation, handmade in our lapidary workshop (2 pcs)",other alternative medicine,Title keyword filter: 'gemstone'
B0CNR5JB2K,tgh,"tgh natural blue lace agate beads bracelet micro faceted gemstones jewelry for her, december birthstone, gold plated chain 8 inch, valentine day gift",other alternative medicine,Title keyword filter: 'jewelry'
B0CQN6XXMW,drinkolin,"welch's fruit snacks gummies valentines day candy pouches, 45 count",elderberry herbal supplements,Title keyword filter: 'candy'
