asin,title,brand,amazon_subcategory,lookup_action,filter_reason,matched_keyword
B0DC3RDLBC,"rosequartzpendulumâorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DC3SRC9F,"smokyquartzpendulumâorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DC493XM7,"opalitependulumâorgonecrystalpendulumâdowsingpendulumfordivination,meditation,chakrahealingânaturalgemstonependulum",anaya agate,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DK17BWVH,motipuns 12 sets teacher tokens of appreciation in bulk thank you teacher back to school gifts bulk emotional support crystal natural stones green moss matchbooks holiday gifts for women men(heart),motipuns,other alternative medicine,REMAP,Contains non-supplement keyword: 'book',book
B0DNS9ZRGX,"bonny boxx braided genuine 6mm selenite - stone of purification - bracelet, elegant handcrafted natural gemstone crystal bracelet healing power energy inspirational gifts with card for unisex",bonny boxx,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DNSC5VRQ,"bonny boxx braided genuine 4mm black obsidian - stone of strength - bracelet, elegant handcrafted natural gemstone crystal bracelet healing power energy inspirational gifts with card for unisex",bonny boxx,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DNSCCS48,"bonny boxx braided genuine 4mm labradorite - stone of transformation - bracelet, elegant handcrafted natural gemstone crystal bracelet healing power energy inspirational gifts with card for unisex",bonny boxx,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DNSCP7JV,"bonny boxx bonny boxx braided genuine 6mm labradorite - stone of transformation - bracelet, elegant handcrafted natural gemstone crystal bracelet healing power energy inspirational gifts with card for unisex",bonny boxx,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DQ336SWN,teenyyou 10 lb natural raw rocks for tumbling 16 kinds healing crystals bulk gemstone raw rough stones for cabbing tumbling fountain rocks decoration polishing,teenyyou,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DQ4QMPDL,beadthoven 12 sets natural gemstone 3-hole guru beads 8-10mm energy healing stone buddhist beads natural synthetic t-drilled prayer beads for diy buddha mala bracelets rosary necklaces jewelry making,bb beadthoven,other alternative medicine,REMAP,Contains non-supplement keyword: 'jewelry',jewelry
B0DQG9MRX9,"jovivi rose quartz healing crystal trees glass base, feng shui crystal bonsai gemstone money tree for home office desk decor spiritual gift",jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DQGCGG7M,"jovivi 7 chakra healing crystal trees glass base, feng shui crystal bonsai gemstone money tree for home office desk decor spiritual gift",jovivi,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
B0DQV3PGRH,12 sets you rock crystal gemstone with cards organza bags for employee appreciation back to school teacher gift students staff coworkers thank you gifts party favors (motivational),teenyyou,other alternative medicine,REMAP,Contains non-supplement keyword: 'gemstone',gemstone
